Full committee chairman|Darrell Issa|{'relation': 'is being here'}
collaborative efforts|rural communities|{'relation': 'can build a more resilient and sustainable future'}
Chinese hackers|civilians|{'relation': 'indifferent to'}
Wildlife Habitat Conservation Act|state agencies|{'relation': 'would prohibit from doing a good job of managing'}
National Security Implications|foreign governments|{'relation': 'presents'}
Department policies and procedures|drones|{'relation': 'regulate the use of'}
Representatives Weber|Committee on Energy and Commerce|{'relation': 'is a member of'}
Kinship Care|Social Workers|{'relation': 'need more help and support'}
Chinese entities operating abroad|China|{'relation': 'condition the behavior of'}
coordination|veterans|{'relation': 'rural areas who need is for'}
prescriptions or supplies|VA outpatient or CMOP|{'relation': 'are through'}
USDA|American agriculture|{'relation': 'should serve the interests of'}
witnesses|testimony|{'relation': 'will be the truth'}
Wages|inflation|{'relation': 'have gone up faster than'}
provisions|drug prices|{'relation': 'lower'}
communities|local and state resources|{'relation': 'relying on'}
Federal Bureau of Investigations|Department of Justice|{'relation': 'is a component of'}
narcotics trafficking|drug addiction|{'relation': 'are largely a by'}
free drug|$3.9 billion|{'relation': 'provided in 2022'}
reducing CO2 emissions|climate change|{'relation': 'is a solution'}
Department of Homeland Security Grant Programs|subcommittee|{'relation': 'has jurisdiction over'}
Natural Hazard Mitigation Saves: 2018 Interim Report|FEMA|{'relation': 'is referenced by'}
Committee's Democratic staff|report|{'relation': 'detailing'}
So, thank you, Mr. Chair|bipartisan manner|{'relation': 'is working in'}
other diseases|vaccines|{'relation': 'are related to'}
rulemaking process|small business|{'relation': 'is vitally important in'}
Americans with disabilities|the future they want to hold|{'relation': 'will provide'}
National Cyber Strategy|National Infrastructure Risk Management Plan|{'relation': 'starts at the sectors'}
labor organizations|United States|{'relation': 'are responsible for'}
energy leasing|energy production|{'relation': 'is related to'}
bureau|Arizona's Tribal Nations|{'relation': 'rural communities need help from'}
Ranking Member Bill Cassidy, M.D.|Members of the Committee|{'relation': 'is being addressed by'}
Representative Griffith|Committee on House Administration|{'relation': 'are members of'}
Subcommittee on Counterterrorism, Law Enforcement, and Intelligence|National Security realm|{'relation': 'is related to'}
regulatory costs|government mandate|{'relation': 'are assumed away under'}
Senate colleagues|act|{'relation': 'must'}
hunters and fishers|Coastal and Estuarine Land Conservation Program|{'relation': 'is benefiting from'}
The Biden administration|Actions|{'relation': 'has announced'}
offshore wind energy projects|fishing communities|{'relation': 'has impacted'}
Older Americans Act reauthorization process|what needs|{'relation': 'provides an opportunity to look at'}
efficient and adequately resourced compensation programs|vaccine confidence|{'relation': 'can improve'}
drug shortages|prices of drugs in shortage|{'relation': 'increased by up to 16.6%'}
child welfare systems|transition age foster youth|{'relation': 'fail to find permanent families'}
encourage Congress|and the administration|{'relation': 'to work'}
identify potential opportunities|FEMA|{'relation': 'help'}
healthcare agencies|CDC|{'relation': 'and from'}
process|veterans|{'relation': 'is wrong'}
habitat corridors|other wildlife|{'relation': 'would help protect for'}
FY 2025|CRISI|{'relation': 'has a $1.25 billion resources'}
Rural communities|climate resilience|{'relation': 'can benefit from'}
rancher|Federal lands|{'relation': 'uses'}
drug trafficking|human rights abuses|{'relation': 'is connected to'}
Senator|Mr. Biden|{'relation': 'was'}
congressional oversight|expenditure of taxpayer money|{'relation': 'applies to'}
workforce safety|transit systems|{'relation': 'should be ensured'}
U.S. supply chains|China|{'relation': 'is controlled by'}
climate mitigation and adaptation strategies|climate change impacts|{'relation': 'address'}
law enforcement officers|greater support|{'relation': 'need'}
VA State Veterans Home Construction Grant Program|health care professionals|{'relation': 'should increase funding to address national shortages of'}
Department of Energy|affiliates|{'relation': 'has'}
structure|tribal advantages|{'relation': 'how to use'}
2024 appropriations bill|generally robust funding|{'relation': 'has'}
Federal work force|government|{'relation': 'is populated by'}
Coastal resilience funding|communities|{'relation': 'is making its way into'}
United States Congress|Joint Economic Committee|{'relation': 'is a part of'}
Executive action|Congress|{'relation': 'has been enforced by'}
Rampant inflation|COVID|{'relation': 'led to'}
cybersecurity regulatory harmonization|Office of the National Cyber Director|{'relation': 'released a request for information on'}
title to trust land|returned to tribes and individuals in fee|{'relation': 'must confer permanent jurisdiction, complete with full taxation powers, to the tribe'}
Chairman WILLIAMS|Representative|{'relation': 'recognize'}
House Judiciary Committee|chamber|{'relation': 'is a part of'}
House Appropriations Committee|Federal Government|{'relation': 'funds'}
Debt projections|Tax cuts|{'relation': 'are the primary reason for'}
biodiversity|national wildlife refuges|{'relation': 'remain strongholds of'}
January 7|Chairman|{'relation': 'mentioned'}
pipelines|Pipeline and Hazardous Materials Safety Administration|{'relation': 'is regulated by'}
inaugural legislative hearing|Derek Kilmer|{'relation': 'talked about'}
U.S. antitrust law|Chinese State|{'relation': 'has struggled to address'}
existing rules|regulations|{'relation': 'do not include'}
producers|industry|{'relation': 'championing the interests of our farmers and agriculture producers'}
Organizations|cyber resilience strategy|{'relation': 'should incorporate'}
trials|vaccine|{'relation': 'suppressed'}
transnational crime and drugs|is a threat to|{'relation': 'has the result of'}
rescue|FEMA|{'relation': 'should be in charge of by'}
data requests|Derek Kilmer|{'relation': 'talked about'}
Government source|FEMA|{'relation': 'is a validated'}
oversight and inspections|Federal Government|{'relation': 'makes as possible'}
briefing|testimony|{'relation': 'talked about'}
facts|fossil fuel industry|{'relation': 'obvious'}
Caregiver Services|Loved One|{'relation': 'especially those who are providing'}
Representatives Fletcher|Committee on Energy and Commerce|{'relation': 'is a member of'}
CARES Act Funds|Congress|{'relation': 'is providing funding through'}
State|Federal Government|{'relation': 'has reporting requirements across'}
executive branch|political accountability|{'relation': 'operates within a system of'}
fossil fuel business as usual|country|{'relation': 'too much'}
new technologies|new and beginning farmers|{'relation': 'are seeking'}
Russian domination|Putin's imagined past|{'relation': 'is rooted in'}
Accountability|VA|{'relation': 'is needed'}
family finding|kinship foster care|{'relation': 'championed by Congress'}
fight|veterans|{'relation': 'is being fought for'}
fossil fuel industry|pollution|{'relation': 'foments'}
The Chairman|Mr. Cooper|{'relation': 'recognized'}
policy matters affecting persons with disabilities|AbilityOne Program|{'relation': 'is advised on'}
House Natural Resources Committee|Subcommittee on Water, Wildlife and Fisheries|{'relation': 'has a Subcommittee on'}
Tom Cole|full committee|{'relation': 'is the new chairman of'}
organizations|issue|{'relation': 'have asked FEMA and Congress to address'}
National Environmental Policy Act|Endangered Species Act|{'relation': 'is related to'}
Marine veterans|service|{'relation': 'remain connected to'}
Russia's aggression in Ukraine|PRC|{'relation': 'are consequences of'}
grant program|VA|{'relation': 'is used by'}
Subcommittee|Ms. Mace|{'relation': 'is adjourned by'}
Chinese cyber|China|{'relation': 'has the power to influence'}
agriculture|regulations|{'relation': 'takes the form of'}
rising inflation|cost of living|{'relation': 'should be considered'}
state, local and tribal governments|Office of the Secretary|{'relation': 'will provide grants to'}
2025 budget request|national security|{'relation': 'undermines'}
significant investments|native wildlife|{'relation': 'must be made for'}
small towns|rural communities|{'relation': 'is compared to'}
global economy|climate change|{'relation': 'will affect'}
human caused climate change|society|{'relation': 'poses significant risks to'}
profits|tax benefits|{'relation': 'had some'}
supply chains|United States|{'relation': 'is addressing the future resilience of'}
Senators Whitehouse, Merkley, Van Hollen, Lujan, Grassley, Johnson, Romney, Braun and R. Scott|Committee on the Budget|{'relation': 'are present at'}
Chairman Stauber|Subcommittee|{'relation': 'is a member of'}
disaster assistance program|predictability|{'relation': 'will provide'}
accreditation process|veterans|{'relation': 'is for'}
abortion denial|inability to access abortion care|{'relation': 'has severe consequences'}
Federal resources|significant|{'relation': 'would be needed'}
healthcare system|United States|{'relation': 'has allowed Americans to have access to more new innovative medicines sooner than any other country'}
climate change|American people|{'relation': 'could cause problems for'}
the United States|fossil fuel|{'relation': 'are cutting down on'}
operational staff|need to be in front of this Committee|{'relation': 'to answer questions'}
older individuals|retirement|{'relation': 'is related to'}
renewables|energy consumed globally|{'relation': 'supply most of'}
geopolitical tensions|Russia's invasion of Ukraine|{'relation': 'has caused'}
Chinese entities|U.S. military installations|{'relation': 'are close to'}
Many of those who do have dental insurance|The United States|{'relation': 'find that coverage to be totally inadequate'}
Agencies|laws|{'relation': 'implement or enforce'}
Agriculture|commodities|{'relation': 'sticking together is critical'}
Representatives Allen|Committee on Energy and Commerce|{'relation': 'is a member of'}
Workforce|Size|{'relation': 'is to be increased'}
government regulation|departments|{'relation': 'has created'}
Alaska Native corporations|Natives|{'relation': 'provide benefits'}
Taylor et al.|2023|{'relation': 'The efficacy of competitive integrated employment versus segregated employment for persons with disabilities: A systematic review'}
hazard mitigation measures|National Emergency Management Association|{'relation': 'was mentioned in the question about'}
control|China|{'relation': 'is from China'}
public health|social issues|{'relation': 'must address'}
federal policy|programs|{'relation': 'support'}
Uyghur history and religion|Chinese government|{'relation': 'is being targeted by'}
Martin Smith|Chairman|{'relation': 'is'}
executive branch|agencies|{'relation': 'focusing on'}
Program|Emergency Relief Program|{'relation': 'administration of 2022'}
global warming|climate change|{'relation': 'is a cause of'}
compliance burdens|cybersecurity|{'relation': 'would remove a lot of burden'}
affordable housing development|homelessness|{'relation': 'can help with'}
family farms|local economies|{'relation': 'translates to'}
public transportation infrastructure|tribal members seeking treatment|{'relation': 'means they must drive several hours'}
the issue|President Biden|{'relation': 'has spoken to'}
this year|2022|{'relation': 'is different from'}
veterans home|Kansas Commission on Veterans Affairs|{'relation': 'is being planned by'}
medically underserved communities|rural communities|{'relation': 'are'}
aging veterans|homelessness|{'relation': 'challenged us to improve services and access'}
sense|workplace safety|{'relation': 'is concerned about'}
CDC Office of Rural Health|rural communities|{'relation': 'is instrumental for'}
further disruptive strategies|Russian military|{'relation': 'could be facilitated by'}
one employee|VA|{'relation': 'is an employee of'}
bipartisan|widespread|{'relation': 'support'}
United States House Committee on Transportation & Infrastructure|FAA|{'relation': 'has worked with'}
American emissions|greenhouse gas emissions|{'relation': 'decreasing'}
spending|GDP|{'relation': 'increases'}
Businesses|Minority businesses|{'relation': 'can become primes and general contracts'}
advances in the industry|registered apprenticeship program|{'relation': 'training around'}
Rural communities|Nation's fabric|{'relation': 'are an important part of'}
The American Rescue Plan Act|Area Agencies on Aging|{'relation': 'provided funds for'}
you potentially suggested farmers are going to need some kind of economic assistance|given the current climate|{'relation': 'results in'}
Soldier for Life|Department of Veterans Affairs|{'relation': 'has broader support'}
https://sgp.fas.org/crs/misc/IF10585.pdf|Forest Service|{'relation': 'has adopted'}
major rulemakings|executive branch|{'relation': 'should be undertaken by'}
The Department of Homeland Security|AI|{'relation': 'will evaluate'}
Iran|interests|{'relation': 'has been targeted'}
national wildlife refuge system|System's mission|{'relation': 'is to administer a national network of lands and waters for the conservation, management, and where appropriate, restoration of the fish, wildlife, and plant resources and their habitats within the United States for the benefit of present and future generations of Americans'}
dental care workforce|rural and underserved areas|{'relation': 'is an issue in'}
access to care|patients|{'relation': 'is the real issue'}
A systematic review of the benefits of hiring people with disabilities|2018|{'relation': 'was published in'}
These are just a few of the benefits available to veterans during the burial process|we have a tremendous amount of National Guardsman in Montana|{'relation': 'many of my counterparts across the country have chosen not to participate in this program'}
Representatives Thanedar|Committee on Small Business|{'relation': 'is a part of'}
Federal Bureau of Investigation|Chinese|{'relation': 'pose a threat to critical infrastructure'}
Senator Kaine|Committee|{'relation': 'has been a member of'}
witness experts|Derek Kilmer|{'relation': 'talked about'}
Van Hollen|Chairman|{'relation': 'thank you'}
migrants|workforce|{'relation': 'adds to'}
conspiracy theorists|vaccine|{'relation': 'called'}
bureaucratic interests|veterans' welfare|{'relation': 'should be prioritized'}
executive branch|AI|{'relation': 'is using'}
U.S. Maritime Alert and Advisory System|U.S. Coast Guard|{'relation': 'uses'}
COVID to healthcare professionals|healthcare professionals|{'relation': 'ultimately causing those deaths'}
small business boom|country|{'relation': 'is happening in'}
regulatory framework|sectors|{'relation': 'reflects specific needs'}
Law enforcement agencies|DHS|{'relation': 'should work to ensure resources are effective'}
rural state|counties|{'relation': 'has got agriculture and manufacturing in'}
public/private partnerships|cybersecurity|{'relation': 'are essential for'}
several studies|Long COVID patients|{'relation': 'estimate that half fit the criteria for ME/CFS'}
health care services|rural communities|{'relation': 'are in jeopardy for'}
Fire departments|Volunteers|{'relation': 'staffed by'}
tax avoidance|companies|{'relation': 'grow at the expense of others'}
The Chinese|U.S. immigration law|{'relation': 'were singled out in'}
climate future|taxpayer dollars|{'relation': 'will save more than'}
Cybersecurity|our Nation|{'relation': 'is a challenge to'}
chairman|markup|{'relation': 'thanks for holding this'}
U.S. actions|Congress|{'relation': 'respects the important role of'}
Immigration laws|Border|{'relation': 'problems at the'}
Representatives Thanedar|Committee on Small Business|{'relation': 'is a member of'}
Representative Bowman|Mr. Chairman|{'relation': 'thanked'}
fossil fuel development|federal permitting|{'relation': 'across the country'}
Governmental Veteran Service Officers|force multiplier|{'relation': 'are'}
VA Veterans' Family, Caregiver, and Survivor Advisory Committee|laws and policy|{'relation': 'can request information about'}
Wednesday, January 31, 2024|Budget Committee|{'relation': 'will be the date of'}
Cybersecurity outcomes|harmonized approach|{'relation': 'will help ensure'}
Uyghur Human Rights Protection Act|Chinese dissidents|{'relation': 'should be enabled to access'}
Department of Labor|You|{'relation': 'is working with'}
staff|FEMA|{'relation': 'are part of'}
public safety entities|first responders|{'relation': 'work with'}
Mr. Burchett|Mr. Chairman|{'relation': 'thanks'}
baseline cybersecurity requirements|critical infrastructure|{'relation': 'across'}
Chinese drug cartels|foreign criminal cartels|{'relation': 'are part of'}
inflation|Clausing|{'relation': 'is related to'}
federal government|states|{'relation': 'have an obligation to'}
benefits|Senator Van Hollen|{'relation': 'has been talked about by'}
public health system|country|{'relation': 'works to prevent and end pandemic'}
military|Ukraine|{'relation': 'impacts in more practical ways'}
Charter schools|public schools|{'relation': 'have failed to outperform'}
federal|operators|{'relation': 'would still be subject to state permitting regulations'}
Coast Guard|VA|{'relation': 'has interoperability with'}
Inability to Obtain Credit|Tribal Members|{'relation': 'results in'}
resources|regulatory agencies|{'relation': 'are needed'}
Communist China|industries|{'relation': 'is subsidizing'}
National Centers of Academic Excellence in Cybersecurity|Cyber Clinics|{'relation': 'is launching'}
disabilities|caregivers|{'relation': 'require support'}
Human rights|Tiananmen Square protests|{'relation': 'is about'}
Forest Portfolio|US Forest Service|{'relation': 'has'}
we do face a lot of threats in this country|to our national security|{'relation': 'to'}
habitat conservation and restoration plans|states and tribes|{'relation': 'are implementing'}
years|Long Covid|{'relation': 'can develop'}
smallest companies|tax system|{'relation': 'is harmed by'}
Washington, DC|Subcommittee on Oversight|{'relation': 'is the location of'}
coastal communities|flood risk|{'relation': 'better protect from'}
State Departments of Agriculture|Federal Regulations|{'relation': 'are responsible for regulating'}
National Security Strategy|Navy|{'relation': 'is aligning with'}
health visits|tribal citizens|{'relation': 'can continue to follow'}
increasing health care costs|lack of affordability|{'relation': 'results in'}
vaccine information sheets|public|{'relation': 'are communicated to'}
Labor, Health, and Human Services Subcommittee|Wednesday|{'relation': 'is holding a hearing'}
decades|next pandemic|{'relation': 'will help prepare for'}
Including a diverse range of perspectives|ensuring the work of this committee|{'relation': 'is essential to'}
older youth who exit foster care|will be parents by age 21|{'relation': 'are part of'}
Group homes and residential care|Youth in foster care|{'relation': 'has decreased'}
United States House of Representatives|United States Congress|{'relation': 'is part of'}
sovereignty|H.R. 1208|{'relation': 'allows tribes to fully realize benefits of'}
wildfire risks|geographic challenges|{'relation': 'are associated with'}
tax cut|economy|{'relation': 'has not trickled down in'}
Small Business Committee|real small business owners|{'relation': 'has heard concerns from'}
Federal Office of Rural Health Policy|Tribes|{'relation': 'announces resources to'}
homelessness|rural veterans|{'relation': 'are affecting'}
society|disaster resilience|{'relation': 'have improved'}
immigration policy|vulnerable people|{'relation': 'involves'}
June 20, 2024|5 p.m.|{'relation': 'is the deadline'}
Members of the Committee|testimony|{'relation': 'was submitted late to'}
affordable care|caregivers|{'relation': 'have support and resources'}
commodity prices|farmers|{'relation': 'are affected by'}
research and data|Tribal Nations|{'relation': 'is insufficient'}
Federal government|transportation system|{'relation': 'has a principal law enforcement organization within'}
equality for all|Tribal Community|{'relation': 'culture and traditions of'}
Federal COVID|public health infrastructure|{'relation': 'is related to'}
Representatives Bean|Committee on Small Business|{'relation': 'is a member of'}
Representatives Bean|Committee on Small Business|{'relation': 'is a member of'}
AI companies|safety, security, trust with advanced systems|{'relation': 'want to equally ensure'}
small and volunteer firefighters|community safety|{'relation': 'ensure'}
U.S. Side of the Border|Human Trafficking|{'relation': 'are running into'}
the Department of Energy|the origins of COVID|{'relation': 'is concluding'}
choice among vaccines|greater vaccination rate|{'relation': 'will allow'}
Staffing for Adequate Fire and Emergency Response grant program|fire emergency medical services|{'relation': 'strengthen and equip'}
ISDEAA|Tribes|{'relation': 'allows Tribes to use as a mechanism for economic development'}
Financial support|employment opportunities for people with disabilities|{'relation': 'will dramatically open up'}
Experts|Federal vaccine safety systems|{'relation': 'found them to be woefully inadequate'}
recommendation|vaccine|{'relation': 'should not be the first'}
insurance costs|good health|{'relation': 'are barriers to'}
committee rules|members|{'relation': 'may submit statements, questions, and extraneous materials for the record'}
regulations|tribes|{'relation': 'have been restricting'}
Tax cuts|Debt|{'relation': 'will be wiped out by'}
public health agencies|Federal Government|{'relation': 'is related to'}
House of Representatives|Committee on Foreign Affairs|{'relation': 'is a part of'}
mobile medical units|VA|{'relation': 'offers care at'}
small businesses|tax break|{'relation': 'provided a'}
U.S. Representative|Derek Kilmer|{'relation': 'is the same as'}
leaders|committee|{'relation': 'real'}
success stories|charter schools|{'relation': 'have proven'}
oversight|policy and procedure|{'relation': 'has'}
border crisis|cartels|{'relation': 'is a dream scenario for'}
speculation|COVID|{'relation': 'is related to'}
state and local government|Federal Government|{'relation': 'has a partnership with'}
President's budget request for 2025|$4 billion|{'relation': 'is related to'}
Beijing's machinations|China|{'relation': 'has resulted in'}
industries|small business|{'relation': 'made connections with'}
offices|subcommittee|{'relation': 'looks forward to continued collaboration with'}
Moscow|Russia|{'relation': 'is trying to coerce'}
Peters|Chairman|{'relation': 'is'}
GROW for our Veterans Act|Federal jobs|{'relation': 'would create new and creative opportunities for veterans'}
CIO|Department's cybersecurity posture|{'relation': 'will strengthen'}
chamber|Congress|{'relation': 'bipartisan issue'}
Rights of Nature|Tribal claims|{'relation': 'are related to'}
energy made available|business and homes|{'relation': 'is used for'}
issue|bipartisan support|{'relation': 'is going to get'}
Cartel operatives inside the United States|Cartel drug packers or persons ineligible for asylum|{'relation': 'can pick up and then distribute the drugs and people throughout the Nation'}
Federal Land Policy and Management Act|public lands|{'relation': 'will be in accordance with'}
grants and loans|states and localities and tribal governments|{'relation': 'go out to'}
government|FAA|{'relation': 'works with'}
Representatives Bucshon|Committee on Energy and Commerce|{'relation': 'is a member of'}
global pandemic|multiple vaccines|{'relation': 'has been combated with'}
of Readiness|National Guard and Reserves|{'relation': 'is related to'}
Federal protections|reproductive healthcare|{'relation': 'are being targeted by'}
National Wildlife Refuge System Administration Act|proposed regulation|{'relation': 'contradicts'}
Bush tax cuts|Senator Van Hollen|{'relation': 'was mentioned by'}
Chinese expansion|State Department|{'relation': 'need to be concerned with'}
Access to reliable and affordable energy|future economic growth and development opportunities|{'relation': 'has a significant impact on'}
tax benefits|companies|{'relation': 'incentivizes'}
executive branch|Congress|{'relation': 'is accountable to'}
societal impacts|inclusive cybersecurity strategies|{'relation': 'must address'}
high quality public charter schools|specialized learning|{'relation': 'recognizes the importance of'}
Witnesses|testimony|{'relation': 'is eager to hear'}
local and state health departments|CDC|{'relation': 'relationship was invaluable to try to identify those pockets where vaccine was not being distributed'}
Thursday, July 25, 2024|House of Representatives|{'relation': 'is the date of a meeting of'}
Local Governments|Disaster Response|{'relation': 'supported'}
Regulation|pharmaceutical industry|{'relation': 'plays into the hands of'}
care nearby|residents of rural areas|{'relation': 'will get'}
hospital|vaccine|{'relation': 'forced into'}
coastal communities|flood risks|{'relation': 'better protect from'}
Future workforce development|Farmers|{'relation': 'can be helpful for'}
wildfire risk|federal lands|{'relation': 'on'}
spending|economy|{'relation': 'gets bigger'}
VA bureaucracy|healthcare|{'relation': 'is being accessed'}
Pathways to Independence: Supporting Youth Aging Out of Foster Care|Foster Care|{'relation': 'is related to'}
https://www.fs.usda.gov/detail/inyo/landmanagement/resourcemanagement/?cid=stelprd3804071|Forest Service|{'relation': 'has adopted'}
expenditures|Federal challenges|{'relation': 'has'}
Representatives Chu|Committee on Small Business|{'relation': 'is a member of'}
family businesses|farming|{'relation': 'are committed to'}
Department of State|Federal response|{'relation': 'involved the'}
the Subcommittee|is adjourned|{'relation': 'without objection'}
20,000 youth|foster care|{'relation': 'age out of without a family or loving adult to guide and support them'}
National Cyber Workforce and Coordination Group|Office of the National Cyber Director|{'relation': 'led by'}
